Question,Answer,Classification,Correction_Question,Remarks
What options does a seller have in an auction sale in terms of setting a price?,"The seller can set a minimum price, called the reserve price, below which the goods will not be sold.",Yes,,
What are the remedies available to a buyer if a seller breaches a contract of sale?,"The buyer is entitled to certain rights and remedies, including claiming damages for non-delivery or breach of warranty, seeking specific performance for unique goods, and filing a suit for anticipatory breach if a breach is foreseen. Additionally, the buyer can claim interest on the amount paid if delivery fails or the contract is canceled due to a breach.",Yes,,
Can a buyer always claim interest on the amount paid in case of a breach of contract by the seller?,Interest cannot be claimed if the buyer has benefited from the goods.,Yes,,
What are the rights of an unpaid seller concerning the goods sold even after the transfer of possession?,"Unpaid sellers retain certain rights over the goods even after transferring possession, especially if the buyer becomes insolvent or fails to pay. These rights include the right of lien, the right of stoppage in transit, and the right of resale.",Yes,,
What is the Right of Stoppage in Transit?,The right of stoppage in transit enables the seller to stop goods in transit and prevent them from reaching the buyer if the buyer becomes insolvent. This right is particularly important when the buyer is in possession of the goods but has not yet paid for them in full.,Yes,,
"In a scenario where a contract of sale is made before the execution of the contract and a tax revision takes place, what rights do the parties have?","Both the buyer and seller have the right to adjust the price to reflect the tax changes. This applies to newly imposed taxes, increased taxes, decreased taxes, or remitted taxes, provided no prior agreements regarding tax payments were made. However, the parties are free to establish their own agreements regarding taxation.",Yes,,
Can an unpaid seller exercise their right of lien even after obtaining a decree for the price of goods from the court?,"No, the seller loses their right of lien if they exercise it after obtaining a decree for the price of goods from the court.",Yes,,
Under what circumstances can an unpaid seller sue for the price of goods?,"An unpaid seller can sue for the price of goods in specific circumstances such as when there is a contract of sale for the price payable on a specific day, irrespective of delivery, when the buyer wrongfully neglects or refuses to accept and pay for the goods, or when a property is sold in an auction and the buyer defaults on payment.",Yes,,
What options does a buyer have if the seller wrongfully neglects to deliver the goods?,"If the seller wrongfully neglects to deliver the goods, the buyer has the option to sue for damages.",Yes,,
What is the essence of the right of lien?,The essence of a right of lien is to retain possession of the goods until the payment of the price.,Yes,,
When can a seller resell the goods?,"A seller can resell the goods when the goods are of a perishable nature, when there is an agreement to do so, or when they give notice to the buyer of their intention to resell.",Yes,,
State the conditions that must be fulfilled for an unpaid seller to exercise the right of stoppage in transit.,"To exercise the right of stoppage in transit, the seller must be unpaid, the buyer must be insolvent, and the goods must be in transit.",Yes,,
"In an auction sale, who is the property sold to?","In an auction sale, the property is sold to the highest bidder.",Yes,,
What happens to an auction sale if the seller uses pretended bidding to raise the price?,"If the seller uses pretended bidding to raise the price during an auction sale, the sale becomes voidable.",Yes,,
When does an unpaid seller lose their right of lien?,"An unpaid seller loses their right of lien in several cases: when they deliver the goods to a carrier for transmission to the buyer without reserving the right of disposal, when the buyer or an agent lawfully obtains possession of the goods, or when the seller exercises their right of lien even after obtaining a decree for the price of goods from the court.",Yes,,
When can a bidder at an auction sale withdraw his bid?,A bidder at an auction sale can withdraw his bid any time before the fall of the hammer.,Yes,,
When does an unpaid seller lose their right of stoppage in transit?,"An unpaid seller loses the right of stoppage in transit when the buyer or their agent lawfully obtains possession of the goods, the carrier acknowledges to the buyer that they hold the goods on their behalf, or when the seller delivers the goods to a carrier, thereby losing their right of lien.",Yes,,
"What happens to the title of goods when an unpaid seller resells them after giving notice to the original buyer, but the notice doesn't reach the original buyer?","Even if the original buyer doesn't receive the notice of resale, the new buyer obtains a valid title to the goods. The unpaid seller is obligated to inform the original buyer of the intent to resell, but the non-receipt of the notice by the original buyer doesn't invalidate the new buyer's title.",Yes,,
What legal recourse does a buyer have if the seller fails to deliver the goods as agreed upon in the contract?,"In the event of a seller's failure to deliver goods, a buyer can pursue legal remedies such as:

- Filing a lawsuit for damages incurred due to the non-delivery.
- Seeking specific performance, which would compel the seller to fulfill their contractual obligation to deliver the goods.",Yes,,
Under what circumstances can an unpaid seller exercise their right to resell the goods?,"An unpaid seller can exercise their right to resell the goods under the following circumstances:

- If the goods are perishable in nature.
- If there's a prior agreement between the buyer and seller allowing for resale in case of non-payment.
- If the buyer is given notice of the seller's intent to resell.",Yes,,
How can the buyer and seller address tax implications in a sale contract after the contract is established but before the execution?,"Both parties can mutually adjust the price to reflect changes in tax rates that occur after the contract is established but before the execution of the contract. This includes adjustments for newly imposed taxes, tax increases, decreases, or remissions, unless the parties had previously agreed on specific tax liabilities in the contract.",Yes,,
"When can an unpaid seller exercise the right of lien, even if the goods' ownership has passed to the buyer?","An unpaid seller can exercise the right of lien even after the goods' ownership has passed to the buyer under the following circumstances:

- There is no credit agreement between the buyer and the seller
- The buyer becomes insolvent
- The stipulated credit period, if any, has expired.",Yes,,
What distinguishes a contract of sale from an 'agreement to sell'?,"The key difference lies in the timing of the transfer of ownership. In a contract of sale, ownership is transferred immediately or is expected to be transferred in the near future.  Conversely, an 'agreement to sell' defers the transfer of ownership to a future date or makes it contingent upon fulfilling specific conditions.",Yes,,
What is the primary subject matter of both a contract of sale and an agreement to sell?,Both contracts exclusively deal with goods.,Yes,,
How is the price determined in a contract of sale for goods?,"The price for goods in a contract of sale can be fixed by the contract itself or may be agreed upon later using a specific, pre-determined method.",Yes,,
"In a contract of sale, what does the seller transfer or agree to transfer to the buyer?","In a contract of sale, the seller transfers or agrees to transfer the ownership of goods to the buyer for a price.",Yes,,
What happens to a contract of sale for specific goods if those goods are destroyed before the risk passes to the buyer?,"If specific goods in a contract of sale perish or are damaged to the extent that they no longer match their description, and this happens without the seller's knowledge and before the risk passes to the buyer, the contract becomes void.",Yes,,
"If a seller agrees to a present sale of future goods, how does the contract operate?","When a seller agrees to a present sale of future goods, the contract functions as an agreement to sell those goods once they become available.",Yes,,
Is a contract of sale valid if specific future goods are destroyed?,"No. The destruction of specific future goods in a contract amounts to a supervening impossibility, rendering the contract void.",Yes,,
What happens to a contract if specific goods are damaged after the agreement to sell but before the risk passes to the buyer?,"If there's an agreement to sell specific goods, and these goods are subsequently damaged without fault of either party before the risk passes to the buyer, to the extent they no longer match the description, the contract is avoided or becomes void.",Yes,,
What are contingent contracts in the context of sale of goods?,"Contingent contracts are agreements to sell goods that are dependent on a future event, which may or may not occur.  For example, an agreement to sell cloth yet to be manufactured by a specific mill would be a contingent contract.",Yes,,
How is the price determined in a contract of sale?,"The price in a contract of sale can be fixed in a few ways: by agreement at the time of contract, by referring to past dealings between the parties, or if not specified by the previous methods, the buyer must pay a reasonable price.",Yes,,
What happens to a contract of sale if the third party designated to determine the price is unable or fails to do so?,"If a third party is assigned to set a price and they are unable or unwilling to do so, the contract becomes void. However, if the buyer has already received and accepted the goods, they are obligated to pay a reasonable price for them.",Yes,,
Can a party seek damages if a third-party valuation fails due to the fault of the other party?,"Yes, if the failure of a third party to determine the price is due to the fault of either the buyer or seller, the party not at fault can sue the party responsible for the failure for damages.",Yes,,
What constitutes a reasonable price when it is not predetermined in a contract of sale?,"A reasonable price, in the context of a sale where the price isn't predetermined, depends on the specifics of each case. It's a matter of fact determined based on the circumstances surrounding the sale.",Yes,,
"What type of contract is an agreement to sell considered, and why?",An agreement to sell is considered an executory contract because the consideration (payment) for the goods will be paid in the future.,Yes,,
What legal remedy is available to the aggrieved party if a breach occurs in an agreement to sell?,"In an agreement to sell, the aggrieved party can sue for damages in case of a breach, unless the price was payable on a specific date and remains unpaid.",Yes,,
"Who bears the risk of loss or damage to the goods in a sale, and why?","In a sale, the buyer bears the risk of loss or damage to the goods because the ownership of the goods passes to the buyer, and risk follows ownership.",Yes,,
"What type of right does an agreement to sell create, and what does it imply?","An agreement to sell creates 'Jus in personam', implying a right enforceable only against the specific parties involved.",Yes,,
Can a seller resell goods in an agreement to sell? Why or why not?,"Yes, the seller can resell goods in an agreement to sell because ownership remains with the seller.",Yes,,
"If a seller becomes insolvent after an agreement to sell, can the official assignee claim the goods from the buyer?","No, the official assignee cannot claim the goods from the buyer because the ownership remains with the seller.",Yes,,
"In the event of a buyer's insolvency after a sale, what happens to the control of the goods?","In the event of a buyer's insolvency after a sale, the official assignee will have control over the goods.",Yes,,
"In a sale, when does the transfer of ownership of goods take place?","In a sale, the ownership of goods transfers immediately from the seller to the buyer.",Yes,,
"How do the provisions of the Indian Contract Act, 1872 relate to the Sale of Goods Act?","The general provisions of the Indian Contract Act, 1872, apply to contracts for the Sale of Goods as long as they do not contradict the specific provisions of the Sale of Goods Act.",Yes,,
"How are undefined expressions in the Sale of Goods Act, 1930 interpreted?","Expressions used but not defined in the Sale of Goods Act, 1930, are interpreted according to the definitions provided in the Indian Contract Act, 1872.",Yes,,
When are customs and usages considered binding in contracts under the Sale of Goods Act?,Customs and usages are binding on both parties involved in a contract if they are considered reasonable and are known to both parties at the time of entering the contract.,Yes,,
What is the primary focus of the Sale of Goods Act?,"The Sale of Goods Act primarily governs contracts related to the sale of movable properties, such as goods. It does not apply to contracts dealing with immovable properties like land, shops, or houses.",Yes,,
"Apart from tangible items, what other unconventional items are considered 'goods' under the Sale of Goods Act, 1930?","Besides tangible items, 'goods' can also include intangible properties like goodwill, copyrights, patents, trademarks, etc.  Stock and shares, gas, steam, water, electricity, and decrees of the court are also considered goods.",Yes,,
"What are 'Ascertained Goods' as per the Sale of Goods Act, 1930?",'Ascertained goods' are those goods that are identified and agreed upon after the contract is made but before the sale is finalized.,Yes,,
"Explain the concept of 'Constructive Delivery' under the Sale of Goods Act, 1930 with an example.","'Constructive Delivery' occurs when possession of goods changes without physical handing over. For instance, when a warehouse holding goods acknowledges holding them on behalf of the buyer, it is considered constructive delivery.",Yes,,
"Differentiate between 'General Property' and 'Special Property' in the context of the Sale of Goods Act, 1930.","'General Property' refers to the overall ownership right of the goods. On the other hand, 'Special Property' signifies a limited ownership interest, like a pledge where the pledgee has the right to retain the goods until a debt is cleared.",Yes,,
What is an agreement to sell future goods considered under the Sale of Goods Act?,An agreement for the sale of future goods is considered a 'contract to sell' and not an actual sale.,Yes,,
"What constitutes 'Insolvency' according to the Sale of Goods Act, 1930?","A person is considered 'Insolvent' when they are unable to pay their debts as they become due, whether those debts are committed through ordinary course of business or not.",Yes,,
"Define 'Mercantile Agent' as per the Sale of Goods Act, 1930.","A 'Mercantile Agent' is a person authorized to sell goods or buy goods on behalf of another person, typically for a commission or fee.",Yes,,
"What is the definition of 'buyer' and 'seller' according to the Sale of Goods Act, 1930?","The Sale of Goods Act, 1930 defines a 'buyer' as a person who buys or agrees to buy goods. A 'seller' is defined as a person who sells or agrees to sell goods.",Yes,,
Can a contract of sale be formed without any written documentation?,"Yes, depending on the laws in place, a contract of sale can be formed through written or spoken words, or even a combination of both.",Yes,,
What are the different modes in which a contract of sale can be made?,"A contract of sale can be made through an offer to buy or sell goods for a price and acceptance of such offer. It can involve immediate delivery of goods, immediate payment but future delivery, immediate delivery and payment, delivery or payment or both in installments or delivery or payment or both at some future date.",Yes,,
How is a contract of sale formed under the Sale of Goods Act?,"A contract of sale is formed when there's an offer to buy or sell goods at a certain price, and this offer is accepted. This could involve immediate payment and delivery or agreements for these to happen later, whether in installments or on a specific future date.",Yes,,
How does the right to terminate the contract differ between a sale and a hire-purchase agreement?,"A buyer in a sale agreement cannot terminate the contract as they become the owner of the goods. However, a hirer in a hire-purchase agreement can choose to terminate the contract and return the goods to the owner.",Yes,,
"In a hire-purchase agreement, what happens if the hirer defaults on payments?","If the hirer fails to make the payments as agreed, the owner has the right to take back possession of the goods.",Yes,,
Can a hirer in a hire-purchase agreement resell the hired goods?,"No, a hirer cannot resell the goods under a hire-purchase agreement unless they have completed all installment payments and acquired ownership.",Yes,,
How is the transfer of property in a bailment different from a sale?,"In a sale, the ownership of the goods is transferred from the seller to the buyer. However, in a bailment, only possession is transferred from the bailor to the bailee, not the ownership.",Yes,,
What is the key difference in the consideration element between a sale and a bailment?,"The consideration in a sale is always the price of the goods. In contrast, the consideration in a bailment can be gratuitous (free of charge) or non-gratuitous (for a fee).",Yes,,
How does a contract for work and labor differ from a sale agreement?,"A contract of sale involves the selling of existing goods for a price. Conversely, a contract for work and labor involves someone performing a service or creating something new, such as a goldsmith making an ornament.",Yes,,
What is the key distinction between a sale agreement and a hire-purchase agreement regarding the transfer of ownership?,"In a sale agreement, ownership of the goods is transferred to the buyer immediately upon the sale. Conversely, in a hire-purchase agreement, ownership only passes to the hirer after the last installment payment is made.",Yes,,
Can a contract of sale exist between joint owners of a property?,"Yes, the Sale of Goods Act permits a contract of sale to be established between joint owners of a property, allowing one party to sell their share to the other.",Yes,,
Is it mandatory for the price in a contract of sale to be entirely in monetary terms?,"While a price in money is typical, the Sale of Goods Act allows for flexibility. The consideration can be partly in money and partly in kind, meaning an exchange of goods or services can partially or wholly constitute the price.",Yes,,
What is the definition of 'goods' as per the Sale of Goods Act?,"According to the Act, 'goods' are defined as movable property. This can encompass both existing goods that the seller owns or possesses and future goods that are yet to be acquired or manufactured.",Yes,,
"If a person agrees to sell a car they will inherit to someone else, does it constitute a valid contract of sale under the Act?","Yes, the Sale of Goods Act acknowledges contracts for the sale of future goods. Even if the seller doesn't currently possess the goods but is expected to acquire them, the agreement can be binding.",Yes,,
What is the key distinction between a 'Sale' and an 'Agreement to Sell' in the context of the Sale of Goods Act?,"The primary difference lies in the timing of ownership transfer. In a 'Sale,' ownership of the goods transfers from the seller to the buyer immediately upon entering the contract. Conversely, in an 'Agreement to Sell,' the transfer of ownership is deferred to a future date, typically contingent upon fulfilling certain conditions.",Yes,,
"What happens if a third party, tasked with determining the price of goods in a sale, is unable or unwilling to provide a valuation?","The contract becomes void if a third party cannot or will not determine the price. However, if the buyer has already received and accepted the goods, a reasonable price must be paid.",Yes,,
"How does the Sale of Goods Act, 1930 define 'goods'?","The Sale of Goods Act, 1930, defines 'goods' as movable properties. This encompasses a wide range of items but excludes things like money and actionable claims.",Yes,,
Can a contract of sale be formed through a combination of written and spoken communication?,"Yes, a contract of sale can be established through a mix of written and spoken communication, as long as the essential elements of a contract are present.",Yes,,
What distinguishes a hire-purchase agreement from a contract of sale?,"While both involve the eventual ownership of goods, a hire-purchase agreement only transfers ownership after all installments are paid. In contrast, a contract of sale can transfer ownership immediately or at a specified future time.",Yes,,
What is a key difference between a present sale and an agreement to sell future goods?,"In a present sale, ownership of goods transfers immediately. In an agreement to sell future goods, ownership is promised to transfer when those goods become available.",Yes,,
"Can the provisions of the Sale of Goods Act, 1930 be modified by the parties to a contract of sale?","No, the parties involved in a contract of sale cannot modify the provisions of the Sale of Goods Act, 1930.",Yes,,
What are ascertained goods?,Ascertained goods are goods that are specifically selected and set aside for the buyer after a contract of sale has been made.,Yes,,
Explain the concept of symbolic delivery in the context of sale of goods.,"Symbolic delivery occurs when, instead of physically handing over the goods, something that represents those goods, such as a key, is given to the buyer.",Yes,,
What are the roles of a mercantile agent?,"A mercantile agent is authorized to sell or buy goods on behalf of another person. They can also raise money by using goods as security. Essentially, they enter into contracts on behalf of their principal.",Yes,,
What differentiates a contract of sale from an agreement to sell?,"In a contract of sale, ownership of the goods is transferred from seller to buyer at the time of contract formation. In an agreement to sell, this transfer of ownership is meant to occur at a future date or upon the fulfillment of certain conditions.",Yes,,
Why is an exchange of goods for other goods not considered a sale?,"An exchange of goods for other goods is considered barter, not a sale. For a contract to be a valid sale, goods must be exchanged for money.",Yes,,
"According to the Sale of Goods Act, 1930, what does the term 'transfer' refer to?","'Transfer', as per the Sale of Goods Act, 1930, refers to the voluntary transfer of possession of goods from one person to another.",Yes,,
How does a contract of sale differ from a contract for work and materials?,"In a contract of sale, the seller is transferring ownership of goods to the buyer. In a contract for work and materials, the worker/contractor is using their own materials to create something specific as per the agreement, and ownership of the finished product will pass to the other party.",Yes,,
What is the difference between 'ownership of goods' and 'risk of goods'?,"Ownership of goods refers to the right of a person to possess, use, and dispose of those goods. Risk of goods refers to the liability for any loss or damage that those goods might incur.  Typically, when ownership of the goods passes from the seller to the buyer, so too does the risk.",Yes,,
What constitutes a valid contract of sale?,"A valid contract of sale requires the goods to be exchanged for money. The price of these goods must be either fixed or determinable, and the goods themselves must be specific or ascertained.",Yes,,
"When did the Sale of Goods Act, 1930, come into effect?","The Sale of Goods Act, 1930 came into effect on July 1, 1930.",Yes,,
Is 'structured delivery' a recognized form of delivery in the sale of goods?,"No, 'structured delivery' is not a recognized form of delivery in the context of sale of goods.  The recognized forms are actual delivery, symbolic delivery, and constructive delivery.",Yes,,
What is a 'railway receipt' considered to be?,A railway receipt is considered a document of title to goods.,Yes,,
What is a 'bill of lading'?,A bill of lading serves as documentary evidence of a contract for the carriage and delivery of goods.,Yes,,
Can a hire-purchase contract be considered a contract of sale?,"No, a hire-purchase contract is distinct from a contract of sale. In a hire-purchase agreement, the hirer has an option to purchase the goods, while a contract of sale involves immediate transfer of ownership.",Yes,,
"If A agrees to deliver 100 kg of sugar to B in exchange for 15 mts of cloth, what kind of transaction is this considered to be?","This transaction would be considered Barter because it involves an exchange of goods for goods, not for money.",Yes,,
What is the legal term for the voluntary transfer of possession of goods from one person to another?,The legal term for the voluntary transfer of possession of goods from one person to another is 'transfer'.,Yes,,
What is a contract for the sale of goods?,A contract for the sale of goods is an agreement where a seller either transfers or agrees to transfer the ownership of goods to a buyer for a price. This price can be in the form of money or by exchanging other goods.,Yes,,
"Can the provisions of the Sale of Goods Act, 1930 be modified, and if so, are there any limitations?","Yes, parties can modify the provisions through mutual agreement, but this freedom is restricted in some cases to ensure fairness.",Yes,,
What is the key difference between a 'contract of sale' and an 'agreement to sell' under the Sale of Goods Act?,"A 'contract of sale' implies immediate ownership transfer, making it an executed contract. An 'agreement to sell' implies future ownership transfer (upon fulfilling conditions), making it an executory contract.",Yes,,
"How does the Sale of Goods Act, 1930, address the determination of price in a sale contract?","The price can be pre-agreed, determined by past transactions, or, if no other method exists, a reasonable price must be paid.",Yes,,
What happens to a contract of sale if the price is to be determined by a third party who fails to do so?,"The contract becomes void if the third party cannot or refuses to determine the price. However, if the buyer has already accepted the goods, a reasonable price must be paid.",Yes,,
"What are the essential elements required for a contract of sale to be valid under the Sale of Goods Act, 1930?","The essential elements include distinct buyer and seller, goods as subject matter, a monetary price, transfer of ownership, and compliance with other essentials of a valid contract as per prevailing laws.",Yes,,
How does the Sale of Goods Act differentiate between a 'sale' and a 'hire-purchase agreement'?,"In a sale, ownership is transferred immediately. In a hire-purchase agreement, ownership transfers to the buyer only after all installments are paid.",Yes,,
What is the key distinction between a 'contract of sale' and a 'contract for work and labor' under the Act?,"A contract of sale involves the transfer of ownership of goods. In contrast, a contract for work and labor pertains to providing services, not the sale of goods.",Yes,,
"According to the Sale of Goods Act, 1930, what happens to the risk of loss of goods when ownership passes from the seller to the buyer?","Typically, the risk of loss passes along with the ownership of goods from the seller to the buyer.",Yes,,
"What is the purpose of the Sale of Goods Act, 1930, in India?","The Sale of Goods Act, 1930, governs the sale of goods in India, outlining the rights and obligations of both buyers and sellers, and providing a framework for these transactions.",Yes,,
"In a sales contract, what recourse does the buyer have if the seller breaches a 'condition'?","If a seller breaches a 'condition' in a sales contract, the buyer has the right to repudiate the contract entirely and claim damages for any losses incurred.",Yes,,
What is the significance of 'implied conditions and warranties' in a contract of sale?,"Every contract of sale automatically includes certain 'implied conditions and warranties' by law. These implied terms exist even if the parties don't expressly agree to them, providing a basic level of protection and obligation.",Yes,,
Explain the 'let the buyer beware' principle in the context of a sales contract.,"The 'let the buyer beware' principle suggests that sellers aren't obligated to disclose every flaw in the goods being sold. It implies a level of responsibility on the buyer to inspect and assess the goods before purchase, although exceptions to this principle do exist.",Yes,,
"What are the two categories of stipulations in a contract of sale, and how are they differentiated?","Stipulations in a contract of sale can be classified as 'conditions' or 'warranties.' Conditions are stipulations crucial to the contract's main purpose, while warranties are of lesser importance. Breaching a condition allows contract repudiation and damage claims, whereas breaching a warranty only permits damage claims.",Yes,,
What rights does an aggrieved party have in case of a breach of condition?,"In case of a breach of condition, the aggrieved party has the right to sue for damages and repudiate (cancel) the contract.",Yes,,
When can a condition be treated as a warranty?,"A condition can be treated as a warranty under these circumstances:
- Waiver of condition by the buyer.
- Buyer elects to treat the breach of condition as a breach of warranty.
- Acceptance of goods by the buyer in case of a non-severable contract of sale.",Yes,,
"Under the Sale of Goods Act, what is an example of an implied condition NOT related to the description or physical attributes of the goods?","An example of an implied condition not related to the description or physical attributes of goods is the 'condition as to title,' meaning the seller has the right to sell the goods.",Yes,,
"How does the Sale of Goods Act, 1930 define a warranty?","The Sale of Goods Act, 1930 defines a warranty as a stipulation that is 'collateral to the main purpose of the contract'.",Yes,,
"If a buyer fails to examine goods before purchase and later discovers defects, is the seller always liable under the doctrine of Caveat Emptor?","No, under the doctrine of Caveat Emptor, if a buyer fails to examine goods before purchase and later finds defects, the seller is generally NOT liable.",Yes,,
State one exception to the doctrine of Caveat Emptor.,One exception to the doctrine of Caveat Emptor is when the sale is by sample. The bulk of the goods must correspond to the sample provided.,Yes,,
"If a contract for the sale of goods involves both a sample and a description, what must the goods conform to?","In a sale by sample as well as description, the goods must conform to both the sample provided and the description given.",Yes,,
What is the implied condition in a sale of goods by description?,The implied condition in a sale of goods by description is that the goods shall correspond with the description.,Yes,,
Can a buyer seek a refund if goods are bought by description but do not meet the description?,"Yes, if goods are bought by description and do not meet the description, the buyer is entitled to reject them and demand a full refund.",Yes,,
"If a buyer accepts goods that breach a condition, what legal recourse is available to them?","If a buyer accepts goods that breach a condition, they may only be able to claim damages and not a full refund.",Yes,,
What is the legal term for a stipulation that is essential to the main purpose of a contract?,The legal term for a stipulation essential to the main purpose of a contract is 'condition'.,Yes,,
Can implied conditions be negated or waived?,"Yes, implied conditions can be negated or waived by an express agreement between the parties involved in the contract. However, such negation or modification should be clearly demonstrable and not simply inferred from the circumstances.",Yes,,
Explain the implied condition 'Condition as to title' in a sale contract.,"The 'Condition as to title' implies that the seller has the right to sell the goods at the time of the contract. If the seller does not have the legal title to the goods, the buyer has the right to reject the goods and seek a refund.",Yes,,
When does the implied condition 'Condition as to description' apply?,The 'Condition as to description' applies when goods are sold based on a description. It implies that the goods will match the description provided. Any discrepancy between the delivered goods and their description can be grounds for contract repudiation by the buyer.,Yes,,
What is the 'Sale by sample' condition?,"The 'Sale by sample' condition implies that when a sale occurs based on a sample provided by the seller, the bulk of the goods will correspond with the sample in quality. The buyer has the right to reject the goods if they don't meet the standard set by the sample, even if the discrepancy is not readily apparent upon initial inspection.",Yes,,
What happens when goods are sold with reference to both a description and a sample?,"When goods are sold with reference to both a description and a sample, they must conform to both. The buyer has the right to reject the goods if they fail to match either the sample or the description, or both.",Yes,,
Is there an implied condition of fitness for a specific purpose?,"Generally, there is no implied condition as to the suitability of the goods for a specific purpose unless the buyer explicitly informs the seller of the purpose and relies on the seller's expertise. However, exceptions exist if the purpose is implied by the description or if the buyer relies on the seller's skill and judgment in selecting the goods.",Yes,,
What is the 'Condition as to merchantability'?,"The 'Condition as to merchantability' implies that goods sold should be of merchantable quality, meaning they should be fit for their ordinary purpose, free from defects, and durable enough to be considered acceptable by a reasonable buyer.",Yes,,
How do implied warranties differ from implied conditions in a sale contract?,"While both offer buyer protection, a breach of an implied warranty may not necessarily allow for contract termination, unlike a breach of an implied condition.",Yes,,
What does the implied warranty 'Warranty as to undisturbed possession' ensure?,This warranty ensures the buyer's right to enjoy uninterrupted possession of the purchased goods. Any disruption by someone else claiming a right to the goods would constitute a breach.,Yes,,
What is the 'Warranty as to non-existence of encumbrances'?,"This warranty protects the buyer from undisclosed charges or liabilities attached to the goods. If any are discovered, the buyer has the right to seek remedies.",Yes,,
Explain the concept of 'Warranty as to quality or fitness by usage of trade'.,"In certain trades, specific usages or customs imply a warranty as to the quality or fitness of goods for a particular purpose. This warranty is binding even if not expressly stated in the contract.",Yes,,
What is the seller's responsibility regarding the 'Disclosure of dangerous nature of goods'?,"For inherently dangerous goods, the seller must warn the buyer about potential dangers associated with their use. Failure to provide adequate warning constitutes a breach, potentially making the seller liable for any harm caused.",Yes,,
What are implied conditions in a contract of sale?,"Implied conditions are those conditions that are presumed by law to be present in the contract, even though they are not expressly stated by the parties involved.",Yes,,
"How is the essentiality of time-related stipulations, other than payment and delivery time, determined in a contract of sale?",The essentiality of other time-related stipulations depends on the specific wording and interpretation of the contract's terms.,Yes,,
What is the general rule regarding the time of delivery in a contract of sale?,Stipulations regarding the time of delivery are generally considered essential in a contract of sale.,Yes,,
"How should the delivery of goods be carried out, according to a contract of sale?",The delivery of goods must be made without undue delay.,Yes,,
Can a contract of sale establish a fixed price for the goods?,"Yes, the contract can establish a fixed price for the goods or outline a specific method to determine the price later.",Yes,,
"In a contract of sale, are stipulations regarding the time of payment generally considered essential?","Unless explicitly stated otherwise in the contract, stipulations about the time of payment are generally not considered essential to the contract's core purpose.",Yes,,
What is the legal recourse for a buyer when a condition in a contract of sale is breached?,"The buyer has the right to repudiate the contract, claim damages, or both.",Yes,,
Can a stipulation labeled as a 'warranty' in a contract always be treated as such?,"No, a stipulation in a contract of sale can be a condition, though called a warranty, and vice-versa. The determination depends on the specific circumstances and interpretation of the contract.",Yes,,
Explain the concept of 'warranty' with an example.,"A warranty is a stipulation collateral to the main purpose of the contract. For instance, if a car purchased is guaranteed by the manufacturer for any manufacturing defect for one year, and within six months, a defect is found, the buyer can only claim repair or replacement, but not a full refund.",Yes,,
"If a car is sold with a warranty against manufacturing defects, but a defect arises, can the buyer return the car?","No, in case of a breach of warranty, the buyer can only claim damages, such as repair or replacement, but cannot return the car or repudiate the contract.",Yes,,
What happens when statements made by a seller during a sale do not form part of the sales contract?,"When statements made by a seller during a sale do not form part of the sales contract, they are not legally binding and have no legal effect on the contract.",Yes,,
"Under the Sale of Goods Act, is there an implied condition of fitness for any particular purpose?","No, Section 16 of the Sale of Goods Act states there's no implied condition or warranty of fitness for a particular purpose unless the buyer makes the purpose known and relies on the seller's skill and judgment to supply suitable goods.",Yes,,
Explain the exception to Caveat Emptor in cases of 'Sale by Description'.,"When goods are bought based on a seller's description, there's an implied condition that the goods will match that description. If they don't, the buyer can seek recourse.",Yes,,
"If a seller knowingly hides a defect in the goods, does Caveat Emptor still apply?","No, Caveat Emptor does not apply if the seller actively conceals a defect or misrepresents the goods. The buyer can seek remedies if they relied on the seller's actions.",Yes,,
What recourse does a buyer have if a defect in the purchased goods could not have been discovered through reasonable examination?,"If a reasonable inspection wouldn't have revealed a latent defect, Caveat Emptor doesn't apply. The buyer can void the contract and claim damages.",Yes,,
How does trade usage affect the implied conditions in a sale of goods contract?,"Specific conditions regarding the quality or fitness of goods dictated by a particular trade or custom are implied in the contract. However, these can be superseded by an express agreement between the buyer and seller.",Yes,,
What is the principle behind the doctrine of Caveat Emptor?,"Caveat Emptor, meaning ""let the buyer beware,"" places the burden on the buyer to ensure the goods are suitable for their purpose and free from defects. The seller is generally not liable for defects if the buyer had the opportunity to inspect the goods before purchase.",Yes,,
What happens when a buyer accepts goods despite a breach of condition by the seller?,"If a buyer accepts goods, in part or whole, despite the seller breaching a condition of the sale contract, they lose the right to reject the goods or the contract. They can, however, claim damages for the breach.",Yes,,
"Can a buyer, who has chosen to treat a breach of condition as a breach of warranty, later rescind the contract?","No, once a buyer chooses to treat a breach of condition as a breach of warranty, they waive their right to rescind the contract. They can, however, claim damages for the breach.",Yes,,
What is the legal consequence of a buyer electing to treat a breach of condition as a breach of warranty?,"When a buyer treats a breach of condition as a breach of warranty, they are essentially choosing to continue with the contract. This means they cannot later avoid their obligations under the contract, but they retain the right to claim damages for any loss suffered due to the breach.",Yes,,
What is the difference between voluntary waiver and compulsory waiver in the context of breach of condition?,"Voluntary waiver occurs when the buyer chooses to overlook a breach of condition for their benefit and instead treat it as a breach of warranty. On the other hand, compulsory waiver happens when fulfilling the condition becomes impossible due to legal or practical reasons, forcing the situation to be treated as a breach of warranty.",Yes,,
